model;week_number;retailer;kind_cheese;total_quantity;total_proceeds;total_amount
0;05;A1;сыр полутвердый;39,5;23700,0;65
0;05;A1;сыр твердый;56,9;56900,0;88
0;05;A2;продукты сырные;36,2;14480,0;60
0;05;A2;прочие сыры;29,3;20510,0;52
0;05;A2;сыр мягкий;25,7;12850,0;49
0;05;A2;сыр полутвердый;30,6;18360,0;51
0;05;A2;сыр твердый;41,8;41800,0;66
0;05;A3;продукты сырные;17,4;6960,0;30
0;05;A3;прочие сыры;13,1;9170,0;22
0;05;A3;сыр мягкий;13,9;6950,0;22
0;05;A3;сыр полутвердый;21,2;12720,0;34
0;05;A3;сыр твердый;29,2;29200,0;53
0;05;A4;продукты сырные;30,3;10302,0;51
0;05;A4;прочие сыры;20,6;15862,0;37
0;05;A4;сыр мягкий;21,8;11445,0;34
0;05;A4;сыр полутвердый;18,0;11340,0;27
0;05;A4;сыр твердый;32,2;33810,0;51
0;05;A5;продукты сырные;17,8;6764,0;26
0;05;A5;прочие сыры;5,4;3591,0;8
0;05;A5;сыр мягкий;13,7;6507,5;19
0;05;A5;сыр полутвердый;12,3;7011,0;21
0;05;A5;сыр твердый;11,4;10830,0;18
0;06;A1;продукты сырные;37,2;14880,0;68
0;06;A1;прочие сыры;30,2;21140,0;49
0;06;A1;сыр мягкий;34,3;17150,0;60
0;06;A1;сыр полутвердый;43,8;26280,0;72
0;06;A1;сыр твердый;42,6;42600,0;70
0;06;A2;продукты сырные;31,7;12680,0;53
0;06;A2;прочие сыры;25,1;17570,0;41
0;06;A2;сыр мягкий;25,3;12650,0;39
0;06;A2;сыр полутвердый;22,6;13560,0;42
0;06;A2;сыр твердый;35,3;35300,0;67
0;06;A3;продукты сырные;18,6;7440,0;30
0;06;A3;прочие сыры;16,1;11270,0;28
0;06;A3;сыр мягкий;18,3;9150,0;31
0;06;A3;сыр полутвердый;15,1;9060,0;28
0;06;A3;сыр твердый;25,8;25800,0;41
0;06;A4;продукты сырные;21,4;7276,0;33
0;06;A4;прочие сыры;14,1;10857,0;25
0;06;A4;сыр мягкий;14,1;7402,5;22
0;06;A4;сыр полутвердый;20,5;12915,0;36
0;06;A4;сыр твердый;19,5;20475,0;36
0;06;A5;продукты сырные;12,6;4788,0;18
0;06;A5;прочие сыры;2,9;1928,5;6
0;06;A5;сыр мягкий;6,3;2992,5;9
0;06;A5;сыр полутвердый;11,1;6327,0;18
0;06;A5;сыр твердый;14,3;13585,0;22
0;07;A1;продукты сырные;37,3;14920,0;59
0;07;A1;прочие сыры;21,6;15120,0;36
0;07;A1;сыр мягкий;37,8;18900,0;61
0;07;A1;сыр полутвердый;32,7;19620,0;59
0;07;A1;сыр твердый;37,2;37200,0;63
0;07;A2;продукты сырные;35,0;14000,0;59
0;07;A2;прочие сыры;23,3;16310,0;41
0;07;A2;сыр мягкий;27,7;13850,0;52
0;07;A2;сыр полутвердый;29,8;17880,0;45
0;07;A2;сыр твердый;30,6;30600,0;57
0;07;A3;продукты сырные;22,9;9160,0;36
0;07;A3;прочие сыры;10,4;7280,0;18
0;07;A3;сыр мягкий;12,2;6100,0;22
0;07;A3;сыр полутвердый;17,5;10500,0;28
0;07;A3;сыр твердый;24,9;24900,0;41
0;07;A4;продукты сырные;17,8;6052,0;27
0;07;A4;прочие сыры;24,3;18711,0;35
0;07;A4;сыр мягкий;15,0;7875,0;24
0;07;A4;сыр полутвердый;14,5;9135,0;26
0;07;A4;сыр твердый;25,8;27090,0;39
0;07;A5;продукты сырные;7,6;2888,0;16
0;07;A5;прочие сыры;6,1;4056,5;9
0;07;A5;сыр мягкий;7,5;3562,5;12
0;07;A5;сыр полутвердый;8,2;4674,0;14
0;07;A5;сыр твердый;5,9;5605,0;12
0;08;A1;продукты сырные;35,8;14320,0;59
0;08;A1;прочие сыры;27,1;18970,0;44
0;08;A1;сыр мягкий;34,6;17300,0;60
0;08;A1;сыр полутвердый;29,2;17520,0;45
0;08;A1;сыр твердый;47,3;47300,0;81
0;08;A2;продукты сырные;31,4;12560,0;57
0;08;A2;прочие сыры;19,3;13510,0;37
0;08;A2;сыр мягкий;20,9;10450,0;38
0;08;A2;сыр полутвердый;28,2;16920,0;45
0;08;A2;сыр твердый;25,7;25700,0;44
0;08;A3;продукты сырные;17,8;7120,0;29
0;08;A3;прочие сыры;15,1;10570,0;29
0;08;A3;сыр мягкий;16,1;8050,0;25
0;08;A3;сыр полутвердый;18,0;10800,0;28
0;08;A3;сыр твердый;21,8;21800,0;34
0;08;A4;продукты сырные;16,6;5644,0;29
0;08;A4;прочие сыры;14,9;11473,0;24
0;08;A4;сыр мягкий;14,6;7665,0;22
0;08;A4;сыр полутвердый;17,4;10962,0;32
0;08;A4;сыр твердый;27,8;29190,0;48
0;08;A5;продукты сырные;11,1;4218,0;23
0;08;A5;прочие сыры;5,5;3657,5;8
0;08;A5;сыр мягкий;6,4;3040,0;11
0;08;A5;сыр полутвердый;7,3;4161,0;12
0;08;A5;сыр твердый;8,6;8170,0;14
0;09;A1;продукты сырные;32,3;12920,0;51
0;09;A1;прочие сыры;26,9;18830,0;46
0;09;A1;сыр мягкий;26,8;13400,0;44
0;09;A1;сыр полутвердый;31,2;18720,0;49
0;09;A1;сыр твердый;32,8;32800,0;56
0;09;A2;продукты сырные;27,3;10920,0;47
0;09;A2;прочие сыры;19,3;13510,0;30
0;09;A2;сыр мягкий;24,7;12350,0;44
0;09;A2;сыр полутвердый;21,9;13140,0;36
0;09;A2;сыр твердый;29,5;29500,0;55
0;09;A3;продукты сырные;14,0;5600,0;23
0;09;A3;прочие сыры;10,6;7420,0;18
0;09;A3;сыр мягкий;12,2;6100,0;21
0;09;A3;сыр полутвердый;16,3;9780,0;28
0;09;A3;сыр твердый;15,8;15800,0;27
0;09;A4;продукты сырные;16,3;5542,0;26
0;09;A4;прочие сыры;17,3;13321,0;26
0;09;A4;сыр мягкий;13,0;6825,0;19
0;09;A4;сыр полутвердый;16,0;10080,0;26
0;09;A4;сыр твердый;14,1;14805,0;22
0;09;A5;продукты сырные;6,3;2394,0;13
0;09;A5;прочие сыры;7,0;4655,0;10
0;09;A5;сыр мягкий;2,9;1377,5;5
0;09;A5;сыр полутвердый;5,2;2964,0;9
0;09;A5;сыр твердый;7,8;7410,0;14
1;01;A1;продукты сырные;31,8;12720,0;53
1;01;A1;прочие сыры;38,8;27160,0;61
1;01;A1;сыр мягкий;35,4;17700,0;59
1;01;A1;сыр полутвердый;38,3;22980,0;63
1;01;A1;сыр твердый;43,5;43500,0;78
1;01;A2;продукты сырные;23,4;9828,0;40
1;01;A2;прочие сыры;23,7;17419,5;38
1;01;A2;сыр мягкий;29,4;15435,0;51
1;01;A2;сыр полутвердый;22,0;13860,0;45
1;01;A2;сыр твердый;27,2;28560,0;49
1;01;A3;продукты сырные;11,9;5236,0;19
1;01;A3;прочие сыры;8,7;6699,0;16
1;01;A3;сыр мягкий;8,4;4620,0;13
1;01;A3;сыр полутвердый;9,0;5940,0;17
1;01;A3;сыр твердый;11,0;12100,0;18
1;01;A4;продукты сырные;25,4;8636,0;46
1;01;A4;прочие сыры;9,4;7961,8;15
1;01;A4;сыр мягкий;13,6;7493,6;25
1;01;A4;сыр полутвердый;16,0;10592,0;26
1;01;A4;сыр твердый;23,3;25699,9;33
1;01;A5;продукты сырные;5,7;2166,0;9
1;01;A5;прочие сыры;11,6;7714,0;24
1;01;A5;сыр мягкий;10,3;4892,5;22
1;01;A5;сыр полутвердый;13,6;7752,0;22
1;01;A5;сыр твердый;15,5;14725,0;29
1;02;A1;продукты сырные;63,7;25480,0;95
1;02;A1;прочие сыры;49,8;34860,0;81
1;02;A1;сыр мягкий;44,6;22300,0;74
1;02;A1;сыр полутвердый;44,8;26880,0;78
1;02;A1;сыр твердый;53,6;53600,0;91
1;02;A2;продукты сырные;31,9;13398,0;55
1;02;A2;прочие сыры;23,3;17125,5;38
1;02;A2;сыр мягкий;27,1;14227,5;43
1;02;A2;сыр полутвердый;44,1;27783,0;72
1;02;A2;сыр твердый;42,6;44730,0;70
1;02;A3;продукты сырные;37,4;14960,0;61
1;02;A3;прочие сыры;16,9;11830,0;26
1;02;A3;сыр мягкий;21,3;10650,0;34
1;02;A3;сыр полутвердый;16,2;9720,0;31
1;02;A3;сыр твердый;24,1;24100,0;42
1;02;A4;продукты сырные;22,3;7582,0;39
1;02;A4;прочие сыры;10,2;8639,4;20
1;02;A4;сыр мягкий;24,4;13444,4;41
1;02;A4;сыр полутвердый;18,6;12313,2;29
1;02;A4;сыр твердый;114,0;101802,0;318
1;02;A5;продукты сырные;6,8;2658,8;9
1;02;A5;прочие сыры;10,0;6850,0;17
1;02;A5;сыр мягкий;12,5;6112,5;24
1;02;A5;сыр полутвердый;13,1;7689,7;23
1;02;A5;сыр твердый;13,9;13608,1;20
1;03;A1;продукты сырные;179,8;68324,0;495
1;03;A1;прочие сыры;172,0;114380,0;486
1;03;A1;сыр мягкий;177,0;84075,0;493
1;03;A1;сыр полутвердый;154,7;88179,0;425
1;03;A1;сыр твердый;216,3;205485,0;610
1;03;A2;продукты сырные;129,7;46692,0;368
1;03;A2;прочие сыры;112,2;70686,0;298
1;03;A2;сыр мягкий;108,4;48780,0;299
1;03;A2;сыр полутвердый;137,8;74412,0;385
1;03;A2;сыр твердый;144,6;130140,0;400
1;03;A3;продукты сырные;10,6;4664,0;19
1;03;A3;прочие сыры;5,3;4081,0;10
1;03;A3;сыр мягкий;10,2;5610,0;19
1;03;A3;сыр полутвердый;13,7;9042,0;25
1;03;A3;сыр твердый;12,1;13310,0;20
1;03;A4;продукты сырные;29,3;9962,0;54
1;03;A4;прочие сыры;8,6;7284,2;15
1;03;A4;сыр мягкий;15,7;8650,7;27
1;03;A4;сыр полутвердый;92,3;49472,8;258
1;03;A4;сыр твердый;7,0;7721,0;10
1;03;A5;продукты сырные;6,1;2427,8;11
1;03;A5;прочие сыры;7,9;5506,3;13
1;03;A5;сыр мягкий;12,2;6075,6;17
1;03;A5;сыр полутвердый;6,9;4119,3;13
1;03;A5;сыр твердый;7,0;6965,0;15
1;04;A1;продукты сырные;4,3;1720,0;9
1;04;A1;прочие сыры;15,5;10850,0;24
1;04;A1;сыр мягкий;8,9;4450,0;18
1;04;A1;сыр полутвердый;11,9;7140,0;18
1;04;A1;сыр твердый;9,3;9300,0;16
1;04;A2;продукты сырные;6,1;2562,0;9
1;04;A2;прочие сыры;4,8;3528,0;8
1;04;A2;сыр мягкий;6,2;3255,0;11
1;04;A2;сыр полутвердый;8,6;5418,0;13
1;04;A2;сыр твердый;6,6;6930,0;11
1;04;A3;продукты сырные;30,4;12160,0;45
1;04;A3;прочие сыры;10,4;7280,0;18
1;04;A3;сыр мягкий;13,9;6950,0;26
1;04;A3;сыр полутвердый;13,6;8160,0;29
1;04;A3;сыр твердый;16,9;16900,0;31
1;04;A4;продукты сырные;23,1;7854,0;34
1;04;A4;прочие сыры;12,3;10418,1;21
1;04;A4;сыр мягкий;68,4;30506,4;187
1;04;A4;сыр полутвердый;3,9;2581,8;6
1;04;A4;сыр твердый;43,4;38756,2;116
1;04;A5;продукты сырные;3,1;1249,3;5
1;04;A5;прочие сыры;3,6;2538,0;7
1;04;A5;сыр мягкий;5,8;2923,2;12
1;04;A5;сыр полутвердый;9,0;5436,0;17
1;04;A5;сыр твердый;12,4;12486,8;20
1;05;A1;продукты сырные;13,9;5560,0;21
1;05;A1;прочие сыры;11,3;7910,0;19
1;05;A1;сыр мягкий;20,4;10200,0;35
1;05;A1;сыр полутвердый;13,3;7980,0;25
1;05;A1;сыр твердый;18,5;18500,0;28
1;05;A2;продукты сырные;8,0;3360,0;12
1;05;A2;прочие сыры;5,4;3969,0;12
1;05;A2;сыр мягкий;8,4;4410,0;13
1;05;A2;сыр полутвердый;6,2;3906,0;10
1;05;A2;сыр твердый;6,5;6825,0;11
1;05;A3;продукты сырные;15,8;6952,0;29
1;05;A3;прочие сыры;6,7;5159,0;11
1;05;A3;сыр мягкий;11,0;6050,0;24
1;05;A3;сыр полутвердый;14,8;9768,0;22
1;05;A3;сыр твердый;16,8;18480,0;32
1;05;A4;продукты сырные;28,9;9826,0;48
1;05;A4;прочие сыры;62,1;45457,2;172
1;05;A4;сыр мягкий;3,4;1873,4;6
1;05;A4;сыр полутвердый;4,7;3111,4;7
1;05;A4;сыр твердый;7,3;8051,9;14
1;05;A5;продукты сырные;5,7;2319,9;8
1;05;A5;прочие сыры;6,1;4337,1;10
1;05;A5;сыр мягкий;6,0;3048,0;12
1;05;A5;сыр полутвердый;10,0;6100,0;16
1;05;A5;сыр твердый;7,7;7823,2;15
1;06;A1;продукты сырные;99,8;37924,0;272
1;06;A1;прочие сыры;98,6;65569,0;278
1;06;A1;сыр мягкий;96,6;45885,0;260
1;06;A1;сыр полутвердый;97,8;55746,0;261
1;06;A1;сыр твердый;128,8;122360,0;360
1;06;A2;продукты сырные;69,9;25164,0;191
1;06;A2;прочие сыры;57,4;36162,0;158
1;06;A2;сыр мягкий;66,1;29745,0;176
1;06;A2;сыр полутвердый;84,2;45468,0;233
1;06;A2;сыр твердый;77,6;69840,0;212
1;06;A3;продукты сырные;28,2;11280,0;46
1;06;A3;прочие сыры;12,7;8890,0;20
1;06;A3;сыр мягкий;22,9;11450,0;37
1;06;A3;сыр полутвердый;21,8;13080,0;33
1;06;A3;сыр твердый;26,2;26200,0;41
1;06;A4;продукты сырные;23,6;8024,0;37
1;06;A4;прочие сыры;2,2;1863,4;4
1;06;A4;сыр мягкий;2,8;1542,8;6
1;06;A4;сыр полутвердый;56,2;30123,2;147
1;06;A4;сыр твердый;52,2;46614,6;126
1;06;A5;продукты сырные;3,2;1312,0;6
1;06;A5;прочие сыры;3,8;2724,6;6
1;06;A5;сыр мягкий;10,9;5580,8;19
1;06;A5;сыр полутвердый;6,7;4113,8;10
1;06;A5;сыр твердый;8,0;8192,0;15
1;07;A1;продукты сырные;8,2;3280,0;14
1;07;A1;прочие сыры;9,4;6580,0;17
1;07;A1;сыр мягкий;13,7;6850,0;23
1;07;A1;сыр полутвердый;14,5;8700,0;24
1;07;A1;сыр твердый;14,3;14300,0;23
1;07;A2;продукты сырные;3,7;1554,0;6
1;07;A2;прочие сыры;4,9;3601,5;8
1;07;A2;сыр мягкий;9,9;5197,5;14
1;07;A2;сыр полутвердый;6,7;4221,0;9
1;07;A2;сыр твердый;11,1;11655,0;15
1;07;A3;продукты сырные;12,9;5676,0;21
1;07;A3;прочие сыры;8,1;6237,0;17
1;07;A3;сыр мягкий;14,2;7810,0;26
1;07;A3;сыр полутвердый;12,6;8316,0;21
1;07;A3;сыр твердый;9,3;10230,0;20
1;07;A4;продукты сырные;21,1;7174,0;36
1;07;A4;прочие сыры;5,0;4235,0;9
1;07;A4;сыр мягкий;5,5;3030,5;9
1;07;A4;сыр полутвердый;1,2;794,4;2
1;07;A4;сыр твердый;4,2;4632,6;7
1;07;A5;продукты сырные;3,4;1400,8;6
1;07;A5;прочие сыры;4,6;3316,6;7
1;07;A5;сыр мягкий;7,0;3605,0;14
1;07;A5;сыр полутвердый;6,1;3769,8;9
1;07;A5;сыр твердый;5,4;5562,0;13
1;08;A1;продукты сырные;9,2;3680,0;16
1;08;A1;прочие сыры;6,8;4760,0;12
1;08;A1;сыр мягкий;9,4;4700,0;16
1;08;A1;сыр полутвердый;8,9;5340,0;14
1;08;A1;сыр твердый;8,0;8000,0;14
1;08;A2;продукты сырные;6,2;2604,0;9
1;08;A2;прочие сыры;5,5;4042,5;9
1;08;A2;сыр мягкий;6,5;3412,5;10
1;08;A2;сыр полутвердый;6,9;4347,0;10
1;08;A2;сыр твердый;9,0;9450,0;13
1;08;A3;продукты сырные;28,9;11560,0;45
1;08;A3;прочие сыры;14,1;9870,0;22
1;08;A3;сыр мягкий;14,6;7300,0;22
1;08;A3;сыр полутвердый;10,8;6480,0;22
1;08;A3;сыр твердый;16,5;16500,0;30
1;08;A4;продукты сырные;19,3;6562,0;29
1;08;A4;прочие сыры;1,2;1016,4;2
1;08;A4;сыр мягкий;53,1;23682,6;138
1;08;A4;сыр полутвердый;4,8;3177,6;7
1;08;A4;сыр твердый;45,0;40185,0;127
1;08;A5;продукты сырные;1,7;703,8;3
1;08;A5;прочие сыры;3,9;2827,5;9
1;08;A5;сыр мягкий;6,3;3263,4;15
1;08;A5;сыр полутвердый;4,9;3042,9;8
1;08;A5;сыр твердый;8,7;9013,2;13
1;09;A1;продукты сырные;98,8;37544,0;278
1;09;A1;прочие сыры;100,7;66965,5;269
1;09;A1;сыр мягкий;93,8;44555,0;257
1;09;A1;сыр полутвердый;86,1;49077,0;238
1;09;A1;сыр твердый;119,0;113050,0;325
1;09;A2;продукты сырные;66,3;23868,0;188
1;09;A2;прочие сыры;61,4;38682,0;159
1;09;A2;сыр мягкий;70,0;31500,0;184
1;09;A2;сыр полутвердый;77,4;41796,0;226
1;09;A2;сыр твердый;80,6;72540,0;205
1;09;A3;продукты сырные;10,0;4400,0;19
1;09;A3;прочие сыры;5,7;4389,0;10
1;09;A3;сыр мягкий;5,7;3135,0;13
1;09;A3;сыр полутвердый;9,6;6336,0;18
1;09;A3;сыр твердый;13,6;14960,0;23
1;09;A4;продукты сырные;23,8;8092,0;38
1;09;A4;прочие сыры;5,3;4489,1;8
1;09;A4;сыр мягкий;3,5;1928,5;7
1;09;A4;сыр полутвердый;55,7;29855,2;145
1;09;A4;сыр твердый;4,7;5184,1;10
1;09;A5;продукты сырные;3,1;1289,6;6
1;09;A5;прочие сыры;1,8;1310,4;4
1;09;A5;сыр мягкий;8,1;4212,0;16
1;09;A5;сыр полутвердый;4,2;2620,8;8
1;09;A5;сыр твердый;5,0;5205,0;7
2;01;A1;продукты сырные;27,8;12232,0;52
2;01;A1;прочие сыры;17,0;13090,0;37
2;01;A1;сыр мягкий;24,6;13530,0;46
2;01;A1;сыр полутвердый;21,3;14058,0;36
2;01;A1;сыр твердый;31,7;34870,0;56
2;01;A2;продукты сырные;22,9;10076,0;38
2;01;A2;прочие сыры;16,2;12474,0;29
2;01;A2;сыр мягкий;22,8;12540,0;37
2;01;A2;сыр полутвердый;17,7;11682,0;34
2;01;A2;сыр твердый;18,8;20680,0;31
2;01;A3;продукты сырные;16,1;7084,0;30
2;01;A3;прочие сыры;7,6;5852,0;14
2;01;A3;сыр мягкий;9,7;5335,0;21
2;01;A3;сыр полутвердый;9,0;5940,0;17
2;01;A3;сыр твердый;19,3;21230,0;32
2;01;A4;продукты сырные;37,4;13987,6;67
2;01;A4;прочие сыры;6,0;5082,0;11
2;01;A4;сыр мягкий;7,1;4103,8;14
2;01;A4;сыр полутвердый;18,9;13097,7;32
2;01;A4;сыр твердый;19,2;22176,0;30
2;01;A5;продукты сырные;7,5;3135,0;17
2;01;A5;прочие сыры;18,9;13834,8;37
2;01;A5;сыр мягкий;22,7;11872,1;45
2;01;A5;сыр полутвердый;36,8;23073,6;65
2;01;A5;сыр твердый;33,9;35425,5;59
2;02;A1;продукты сырные;30,7;13508,0;53
2;02;A1;прочие сыры;33,3;25641,0;54
2;02;A1;сыр мягкий;35,5;19525,0;59
2;02;A1;сыр полутвердый;27,6;18216,0;54
2;02;A1;сыр твердый;34,1;37510,0;58
2;02;A2;продукты сырные;21,7;9548,0;36
2;02;A2;прочие сыры;16,1;12397,0;31
2;02;A2;сыр мягкий;14,8;8140,0;28
2;02;A2;сыр полутвердый;23,5;15510,0;40
2;02;A2;сыр твердый;20,7;22770,0;43
2;02;A3;продукты сырные;12,6;5544,0;28
2;02;A3;прочие сыры;12,1;9317,0;23
2;02;A3;сыр мягкий;13,4;7370,0;23
2;02;A3;сыр полутвердый;17,5;11550,0;29
2;02;A3;сыр твердый;15,2;16720,0;25
2;02;A4;продукты сырные;47,3;17690,2;82
2;02;A4;прочие сыры;8,9;7538,3;17
2;02;A4;сыр мягкий;13,7;7918,6;25
2;02;A4;сыр полутвердый;17,6;12196,8;30
2;02;A4;сыр твердый;18,3;21136,5;30
2;02;A5;продукты сырные;6,4;2675,2;13
2;02;A5;прочие сыры;34,8;25473,6;58
2;02;A5;сыр мягкий;39,9;20867,7;67
2;02;A5;сыр полутвердый;36,9;23136,3;63
2;02;A5;сыр твердый;41,7;43576,5;77
2;03;A1;продукты сырные;31,3;13772,0;53
2;03;A1;прочие сыры;16,5;12705,0;41
2;03;A1;сыр мягкий;22,1;12155,0;40
2;03;A1;сыр полутвердый;23,2;15312,0;43
2;03;A1;сыр твердый;33,6;36960,0;60
2;03;A2;продукты сырные;24,4;10736,0;47
2;03;A2;прочие сыры;25,2;19404,0;42
2;03;A2;сыр мягкий;19,6;10780,0;38
2;03;A2;сыр полутвердый;16,0;10560,0;29
2;03;A2;сыр твердый;29,7;32670,0;47
2;03;A3;продукты сырные;17,7;7788,0;34
2;03;A3;прочие сыры;13,1;10087,0;26
2;03;A3;сыр мягкий;9,6;5280,0;19
2;03;A3;сыр полутвердый;11,0;7260,0;20
2;03;A3;сыр твердый;20,9;22990,0;30
2;03;A4;продукты сырные;40,5;15147,0;75
2;03;A4;прочие сыры;10,3;8724,1;21
2;03;A4;сыр мягкий;4,1;2369,8;11
2;03;A4;сыр полутвердый;13,4;9286,2;25
2;03;A4;сыр твердый;17,6;20328,0;27
2;03;A5;продукты сырные;8,0;3344,0;17
2;03;A5;прочие сыры;26,7;19544,4;45
2;03;A5;сыр мягкий;28,5;14905,5;49
2;03;A5;сыр полутвердый;39,9;25017,3;66
2;03;A5;сыр твердый;40,0;41800,0;70
2;04;A1;продукты сырные;29,9;13156,0;55
2;04;A1;прочие сыры;22,9;17633,0;45
2;04;A1;сыр мягкий;32,6;17930,0;58
2;04;A1;сыр полутвердый;22,6;14916,0;44
2;04;A1;сыр твердый;32,6;35860,0;54
2;04;A2;продукты сырные;19,2;8448,0;37
2;04;A2;прочие сыры;16,4;12628,0;32
2;04;A2;сыр мягкий;11,9;6545,0;23
2;04;A2;сыр полутвердый;28,4;18744,0;45
2;04;A2;сыр твердый;25,7;28270,0;44
2;04;A3;продукты сырные;15,3;6732,0;30
2;04;A3;прочие сыры;12,1;9317,0;24
2;04;A3;сыр мягкий;8,3;4565,0;14
2;04;A3;сыр полутвердый;12,2;8052,0;21
2;04;A3;сыр твердый;14,0;15400,0;28
2;04;A4;продукты сырные;43,8;16381,2;75
2;04;A4;прочие сыры;8,9;7538,3;19
2;04;A4;сыр мягкий;9,7;5606,6;20
2;04;A4;сыр полутвердый;11,8;8177,4;24
